id1,id2,ddi_risk
DB00204,DB01224,"Avoid combination"
DB00204,DB01227,"Avoid combination"
DB00204,DB01227,Critical
DB00204,DB01228,Critical
DB00204,DB01244,"Avoid combination"
DB00204,DB01244,Critical
DB00204,DB01267,"Avoid combination"
DB00204,DB01267,Significant
DB00204,DB01320,Significant
DB00204,DB01325,Critical
DB00204,DB01599,Significant
DB00204,DB01601,"Avoid combination"
DB00204,DB01601,Significant
DB00204,DB01624,"Avoid combination"
DB00204,DB04844,"Avoid combination"
DB00204,DB04844,Significant
DB00204,DB04855,"Avoid combination"
DB00204,DB04855,Critical
DB00204,DB04868,"Avoid combination"
DB00204,DB04868,Significant
DB00204,DB04946,"Avoid combination"
DB00204,DB04946,Significant
DB00204,DB05294,"Avoid combination"
DB00204,DB06216,"Avoid combination"
DB00204,DB06216,Significant
DB00204,DB06697,"Avoid combination"
DB00204,DB06697,Critical
DB00204,DB06708,"Avoid combination"
DB00204,DB06708,Critical
DB00204,DB08881,"Avoid combination"
DB00204,DB09083,"Avoid combination"
DB00204,DB09167,"Avoid combination"
DB00204,DB09396,Significant
DB00204,DB13179,Critical
DB00206,DB00091,"Potentially significant"
DB00206,DB00175,"Potentially significant"
DB00206,DB00199,"Potentially significant"
DB00206,DB00220,"Potentially significant"
DB00206,DB00224,"Potentially significant"
DB00206,DB00227,"Potentially significant"
DB00206,DB00243,"Potentially significant"
DB00206,DB00295,"Potentially significant"
DB00206,DB00305,"Potentially significant"
DB00206,DB00341,"Potentially significant"
DB00206,DB00343,"Potentially significant"
DB00206,DB00349,"Potentially significant"
DB00206,DB00390,"Potentially significant"
DB00206,DB00444,"Potentially significant"
DB00206,DB00455,"Potentially significant"
DB00206,DB00468,"Potentially significant"
DB00206,DB00480,"Potentially significant"
DB00206,DB00501,"Potentially significant"
DB00206,DB00503,"Potentially significant"
DB00206,DB00537,"Potentially significant"
DB00206,DB00541,"Potentially significant"
DB00206,DB00563,"Potentially significant"
DB00206,DB00570,"Potentially significant"
DB00206,DB00602,"Potentially significant"
DB00206,DB00619,"Potentially significant"
DB00206,DB00622,"Potentially significant"
DB00206,DB00661,"Potentially significant"
DB00206,DB00694,"Potentially significant"
DB00206,DB00701,"Potentially significant"
DB00206,DB00734,"Potentially significant"
DB00206,DB00741,"Potentially significant"
DB00206,DB00762,"Potentially significant"
DB00206,DB00773,"Potentially significant"
DB00206,DB00783,"Potentially significant"
DB00206,DB00863,"Potentially significant"
DB00206,DB00864,"Potentially significant"
DB00206,DB00877,"Potentially significant"
DB00206,DB00904,"Potentially significant"
DB00206,DB00908,"Potentially significant"
DB00206,DB00950,"Potentially significant"
DB00206,DB00967,"Potentially significant"
