drugbank_id,rxcui
DB01175,321988
DB01176,2977
DB01177,5650
DB01178,2373
DB01179,8463
DB01180,9259
DB01181,5657
DB01182,8754
DB01183,7242
DB01184,3626
DB01185,4494
DB01186,8047
DB01187,5968
DB01188,21090
DB01189,27340
DB01190,2582;202862
DB01191,3268
DB01192,7814
DB01193,149
DB01194,194881
DB01195,4441
DB01196,4089
DB01197,1998
DB01198,40001
DB01199,10917
DB01200,1760
DB01201,35617;262139
DB01202,114477
DB01203,7226
DB01204,7005
DB01205,4457
DB01206,6466
DB01207,
DB01208,18469
DB01209,22713
DB01210,1813
DB01211,21212
DB01212,2193
DB01213,15226
DB01214,10824
DB01215,4077
DB01216,25025
DB01217,84857
DB01218,50749
DB01219,3105
DB01220,35619
DB01221,6130
DB01222,19831
DB01223,689
DB01224,51272;221153
DB01225,67108;221095
DB01226,30077
DB01227,237005
DB01228,42368
DB01229,56946
DB01230,7966
DB01231,23370
DB01232,83395;859857
DB01233,6915
DB01234,3264
DB01235,6375
DB01236,36453
DB01237,19759
DB01238,89013
DB01239,2406
DB01240,8814
DB01241,4719
DB01242,2597
DB01243,20875
DB01244,1436
DB01245,
DB01246,10825
DB01247,6011
DB01248,72962;1299922
DB01249,27729
DB01250,32385
DB01251,25793
DB01252,
DB01253,4021
DB01254,475342;1546019
DB01255,673579;700810
DB01256,642274
DB01257,591781
DB01259,480167
DB01260,3254
DB01261,593411;621590
DB01262,15657
DB01263,282446
DB01264,460132
DB01265,474128
DB01266,753346
DB01267,679314
DB01268,357977
DB01269,263034
DB01270,595060
DB01271,644101
DB01272,629565
DB01273,591622
DB01274,304962
DB01275,5470
DB01276,60548
DB01277,274403;616877
DB01278,139953
DB01279,578033
DB01280,274771
DB01281,614391
DB01282,
DB01283,
DB01284,2890
DB01285,376;1040019
DB01288,4333
DB01289,
DB01291,33767
DB01294,19478
DB01295,
DB01296,4845
DB01297,8620
DB01298,78902
DB01299,10173
DB01301,9462
DB01303,20976
DB01306,51428;352385
DB01307,139825
DB01309,400008
DB01319,358262
DB01320,72236
DB01321,6084
DB01322,285228
DB01323,258326;1310069
DB01324,8565
DB01325,59743
DB01326,2178;20473
DB01327,2180
DB01328,2183
DB01329,2184
DB01330,2187
DB01331,2189
DB01332,2192
DB01333,2239
DB01336,29950
DB01337,7883;7884
DB01338,33742
DB01339,71535
DB01340,21102
DB01341,
DB01342,
DB01344,1546436;1546437
DB01345,8588
DB01346,
DB01347,
DB01348,36908
DB01349,
DB01351,719
DB01352,17381
DB01353,19874
DB01354,
DB01355,5302
DB01356,6448;1546265
DB01357,6782
DB01359,7973
DB01362,5956
DB01363,
DB01364,3966
DB01365,6756
DB01366,34530
DB01367,134748
DB01369,229367
DB01370,1311504
DB01373,1895
DB01375,
DB01377,6582
DB01378,6574
DB01380,21655
DB01381,236809
DB01382,102848
DB01384,7910
DB01388,83213
DB01390,36676
DB01392,220982
DB01393,1525
DB01394,2683
DB01395,11636
DB01396,3403
DB01397,52364
DB01399,36108
DB01400,7315
DB01401,215799
DB01403,6852
DB01404,259470;259471;260038;325526;1370774
DB01405,37771
DB01406,3102
DB01407,2580
DB01408,18751
DB01409,69120
DB01410,274964
DB01411,
DB01412,10437
DB01413,20481
DB01414,
DB01415,20492
DB01416,20489
DB01418,154
DB01419,
DB01420,10382
DB01421,7934
DB01422,31901
DB01423,
DB01424,695
DB01425,17311
DB01426,423
DB01427,738
DB01428,32673
DB01429,1054
DB01430,528
DB01431,525
DB01432,2447
DB01433,6814
DB01434,
DB01435,1001
DB01436,12062
DB01437,4903
DB01438,8120
DB01439,
DB01440,1546380
DB01441,
DB01442,
DB01443,
DB01444,
DB01445,
DB01446,
DB01447,
DB01448,
DB01450,
DB01451,
DB01452,3304
DB01453,
DB01454,
DB01455,
DB01456,
DB01458,
DB01459,
DB01460,
DB01461,
DB01462,
DB01463,
DB01464,
DB01465,
DB01466,4166
DB01467,
DB01468,
DB01469,
DB01470,
DB01471,
DB01472,
DB01473,
DB01474,
DB01475,
DB01476,
DB01477,
DB01478,
DB01479,
DB01480,
DB01481,
DB01482,24840;236651
DB01483,1325
DB01484,
DB01485,
DB01486,8175;32022
DB01487,
DB01488,
DB01489,
DB01490,
DB01491,23405
DB01493,4162
DB01494,89808
DB01495,22892
DB01496,
DB01497,
DB01498,
DB01499,
DB01500,
DB01501,23024
DB01502,
DB01503,
DB01505,
DB01506,
DB01509,
DB01510,
DB01511,
DB01512,
DB01513,
DB01514,
DB01515,
DB01516,
DB01518,
DB01520,
DB01521,61686
DB01522,
DB01523,
DB01524,
DB01525,
DB01526,
DB01527,
DB01528,
DB01529,3290
DB01530,
DB01531,
DB01532,
DB01533,
DB01534,
DB01535,
DB01536,784
DB01537,
DB01538,
DB01539,
DB01540,
DB01541,
DB01542,
DB01543,
DB01544,4460
DB01545,24524
DB01546,
DB01547,
DB01548,
DB01549,
DB01550,24867
DB01551,23088
DB01552,
DB01553,21311
DB01554,
DB01555,
DB01556,
DB01557,
DB01558,1749
DB01559,2622
DB01560,
DB01561,784
DB01562,
DB01563,2344
DB01564,
DB01565,
DB01566,
DB01567,
DB01568,
DB01569,
DB01570,
DB01571,
DB01572,
DB01573,
DB01574,18516;133050
DB01575,6102;104100
DB01576,3288
DB01577,6816
DB01578,6920
DB01579,33272
DB01580,7801
DB01581,10176
DB01582,10178
DB01583,
DB01584,10565
DB01586,11065;62427
DB01587,28181
DB01588,8627
DB01589,35185
DB01590,141704
DB01591,322167
DB01592,90176;262150
DB01593,11416;1546264
DB01594,
DB01595,7440
